Component,Purpose,Qty,Cost (USD),Distributor,Link
Screen,The screen for the keyboard,1,$1.56,Tech Delivers,https://techdelivers.com/0-91-inch-oled-lcd-display-module-blue-128x32-i2c-iic-serial?tag=i2c%20lcd
Micro USB Cable,To connect the Pico,1,$1.62,Amazon,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/
M2 Heat Set Inserts,For case assembly,1 pack,$3.31,Amazon,https://www.amazon.in/BRASS-WAREHOUSE-Knurled-Threaded-Printing/dp/B0FMPZ3QHL/
M2 Screws (20 pack),Screwing the case,1 pack,$1.93,Amazon,https://www.amazon.in/Tia-Golden-Screws-Length-Approx-480pcs/dp/B07VWKBHYZ/
Keycaps,Keycaps for the keyboard,1 set,$10.76,Meckeys,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/grey-black-keycaps/
Gateron Switches,Switches for the keys,7 packs,$15.12,Meckeys,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-optical-switch-pack/
Raspberry Pi Pico,The brain,1,$4.00,Robu.in,https://robu.in/product/raspberry-pi-pico/
3D Printed Case,The case,1,$16.18,Robo In,
DIODE,Its the diode for the circuit,1,$3.08,Amazon,https://www.amazon.in/Circuit-Ranger-Switching-Electronic-Projects/dp/B0FJLP12GX
PCB,It is the pcb of the keyboard,5,$36.01,JLCPCB,
Total,,,,$93.57,
