Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"micro usb","to connect the pico",1,1.62,"https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_3_mod_new?crid=1COF12RVL2F3V&dib=eyJ2IjoiMSJ9.hjLhYjqWGP3WB1TyAqoJ2wT1CTBecb501Q3fS_Gsnbt9cDq30qsj46TZGrofpuJq3eNGgAt4bLvHTQR-C3HKTPrMAOyeCBSFSAHSQ9KqdSRIqel-iXVUJ_rq-z_bw1549oBQqE2YEEi5aTJpba6iC_GT9SW0dRAoruR-qniZwc60P4cJOx4qR9udLTXO_af1uTR8-kUxchjbC_OqaDvIXhc4VK7ED2pyOeT8pvM-UP9vczoYIiIrzeb-TUPV0V_0ZH3y5mLKSPqeMJZaQj0yDdxwMDqk0tRKpCxy-5OdbtA.xvmoHpINVMM93JhYBPfo04OKyZWOWwkaDuJD_M8IMps&dib_tag=se&keywords=micro%2Busb&qid=1775292168&s=industrial&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=micro%2Bus%2Cindustrial%2C366&sr=1-3&th=1","amazon"
"6mm Tactile Reset Button (SW1)","teh reset button",1,1.62,"https://www.amazon.in/ElectroBot-Momentary-Tactile-Push-Button/dp/B07PRRRBRY/ref=sr_1_3?crid=MPXBNJVLSXRI&dib=eyJ2IjoiMSJ9.XvDAxIAolqjCJ1m0PR6jB2ySSw9rfbl4x2MVbbBEYXutdBbGV8U_OWEAI5yc6YvJlL2ehyFqB4iTs4e13Ro70VFctOpHkIdRqr082CPW9Xt6M3jOdveNVkxTfLSF_Z2pwt6w3hJrQz9vnkz3Dz41bzAtN2THYQqNbubALn8NHZ7ZHF_Q4vvfpwSfI0p3ESiE5orCqxQ_0NT_wjBbm8jW2AQSOtlUb4sMDYBlG_t_6Mc_kvifrPB6srJNd7pCved7wj38mpa8KmnSU15knMYIPeEgtJDARolY8jZq7JF33Qo.2hRlVNnTfoW_AJX_kHgFTHhjKDePQKN8mziRH-S-7nM&dib_tag=se&keywords=6mm+Tactile+Reset+Button+%28SW1%29&qid=1775292053&s=industrial&sprefix=6mm+tactile+reset+button+sw1+%2Cindustrial%2C527&sr=1-3","amazon"
"0.1uF Capacitor SMD 0805 (C1)","for the reset switch",1,1.13,"https://www.amazon.in/0-1uF-100nF-Capacitor-0805-pack/dp/B0CMXNHQKP","amazon"
"M2 Heat Set Inserts","for helping with screwing",1,3.31,"https://www.amazon.in/BRASS-WAREHOUSE-Knurled-Threaded-Printing/dp/B0FMPZ3QHL/ref=sr_1_5?crid=1Q338GFHXMJ7Q&dib=eyJ2IjoiMSJ9.ZOJw8IF4k6f-lZDFB5S27qMLRcq71zqdAXrpxTOryAIZzaXusOsbrsLaqLLlPnOus27f8VLUJm6_8StDGPG5crHZ1gHl_UdArtpxN0TAqKl1nAzoUnZDSBSXVhvJcI1G0F1J3X8riyctmkTSCSc-RZAWyqYpPnyTSyjhnpmf6yLRqPzKE1wUirF-tz2LaBzn6aK9K_kba07n92cJKfdsuyQLw5ZnYW0pRfoa1zVukJ011M44uU6iNtqUAVEz6zZw4uEn_61KhxulIfN88CExPEoMxQp_L6SQQgmTbmKS6lg.GoXIZiSNTEXirwQFgAv4aK2MAmOHJIpjrGvHLxHLcXM&dib_tag=se&keywords=M2+Heat+Set+Inserts&qid=1775284740&sprefix=m2+heat+set+inserts+20+pack+%2Caps%2C400&sr=8-5","amazon"
"M2 screws 20 pack","screwing the case",1,1.93,"https://www.amazon.in/Tia-Golden-Screws-Length-Approx-480pcs/dp/B07VWKBHYZ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.mHFwxQ_O4b6rzS0Szee0flN6HA2LGkD7FFbrFLb3haCzeuaWfqCLdogFjyZ09SgmAeMtkKh3z1ifkFab2q53-kAgnak-8Nb2jLfCZEmNBGW0XYLA-ekPxNpsJP0YyJDT7H5gnSAHsibFBeYq0SeBq_RuZarfaK5t6pO0bhVmwYNpY5mxdQY6S8aMYfjuEEr9LvwT7vB0GkGATFgovMA-kX5sgIn2AP1QMtQJiGLKSIONYtF6Q74PBLY5Q3x1NlyiuxZ7SpsdC94nMOY_qWKihOYdiqqhQF0Wx5Q1z1sDt2U.upbXne3BuPGXUGYiJ8drbubVuf1GFH4OX-Y8cjxN93E&dib_tag=se&keywords=M2+screws+20+pack&qid=1775284653&sr=8-2","amazon"
"keycaps","the keycaps for the keyboard",1,10.76,"https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/grey-black-keycaps/","meckeys"
"Gateron Switches","switches for the keys",7,15.12,"https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-optical-switch-pack/"," Meckeys"
"Raspberry Pi Pico","the brain",1,4.00,"https://robu.in/product/raspberry-pi-pico/","robu"
"3d printed case","the case",1,16.18,"","robo in"
"DIODE","its the diode for the circuit",1,3.08,"https://www.amazon.in/Circuit-Ranger-Switching-Electronic-Projects/dp/B0FJLP12GX","amazon"
"PCB","it is the pcb of the keyboard",5,36.01,"","JLCPCB"
